product,chemical_formula,density
Lung (ICRP),H0.1003C0.0085N0.002O0.0473Na0.0001Mg0.0P0.0S0.0001Cl0.0001K0.0Ca0.0Fe0.0Zn0.0,1.05
M3 Wax,H0.1132C0.0546O0.0058Mg0.0055Ca0.0001,1.05
Magnesium Carbonate,C0.0119O0.0356Mg0.0119,2.958
Magnesium Fluoride,F0.0321Mg0.016,3.0
Magnesium Oxide,O0.0248Mg0.0248,3.58
Magnesium Tetraborate,B0.0223O0.039Mg0.0056,2.53
Mercuric Iodide,I0.0044Hg0.0022,6.36
Methane,H0.2488C0.0623,0.000667
Methanol,H0.1246C0.0312O0.0312,0.7914
Mix D Wax,H0.1327C0.0648O0.0022Mg0.0016Ti0.0003,0.99
MS20 Tissue Substitute,H0.0804C0.0486N0.0013O0.0116Mg0.0054Cl0.0,1.0
"Muscle, Skeletal",H0.0996C0.009N0.002O0.0472Na0.0Mg0.0P0.0001S0.0001Cl0.0K0.0001Ca0.0Fe0.0Zn0.0,1.04
"Muscle, Striated",H0.101C0.0102N0.0025O0.0456Na0.0Mg0.0P0.0001S0.0002K0.0001,1.04
"Muscle-Equivalent Liquid, with Sucrose",H0.0973C0.013N0.0025O0.0444,1.11
"Muscle-Equivalent Liquid, without Sucrose",H0.101C0.01N0.0025O0.0464,1.07
Naphthalene,H0.0623C0.078,1.145
Nitrobenzene,H0.0405C0.0487N0.0081O0.0162,1.19867
Nitrous Oxide,N0.0454O0.0227,0.001831
"Nylon, Du Pont ELVAmide 8062",H0.1025C0.054N0.0071O0.0093,1.08
"Nylon, type 6 and type 6/6",H0.097C0.053N0.0088O0.0088,1.14
"Nylon, type 6/10",H0.106C0.0567N0.0071O0.0071,1.14
"Nylon, type 11 (Rilsan)",H0.1143C0.06N0.0055O0.0055,1.425
"Octane, Liquid",H0.1572C0.07,0.7026
Paraffin Wax,H0.1471C0.0709,0.93
N-Pentane,H0.166C0.0693,0.6262
Photographic Emulsion,H0.014C0.006N0.0014O0.0041S0.0001Br0.0044Ag0.0044I0.0,3.815
Plastic Scintillator (Vinyltoluene based),H0.0842C0.0762,1.032
Plutonium Dioxide,O0.0074Pu0.0037,11.46
Polyacrylonitrile,H0.0564C0.0565N0.0188,1.17
"Polycarbonate (Makrolon, Lexan)",H0.0549C0.0629O0.0118,1.2
Polychlorostyrene,H0.0613C0.058Cl0.0068,1.3
Polyethylene,H0.1423C0.0713,0.94
Polyethylene Terephthalate (Mylar),H0.0415C0.052O0.0208,1.4
"Polymethyl Methacralate (Lucite, Perspex)",H0.0797C0.0499O0.02,1.19
Polyoxymethylene,H0.0665C0.0333O0.0333,1.425
Polypropylene,H0.1423C0.0713,0.9
Polystyrene,H0.0767C0.0768,1.06
Polytetrafluoroethylene (Teflon),C0.02F0.04,2.2
Polytrifluorochloroethylene,C0.0172F0.0258Cl0.0086,2.1
Polyvinyl Acetate,H0.0695C0.0465O0.0232,1.19
Polyvinyl Alcohol,H0.0906C0.0454O0.0227,1.3
Polyvinyl Butyral,H0.0919C0.0567O0.0142,1.12
Polyvinyl Chloride,H0.0479C0.032Cl0.016,1.3
"Polyvinylidene Chloride, Saran",H0.0206C0.0206Cl0.0206,1.7
Polyvinylidene Fluoride,H0.0312C0.0312F0.0312,1.76
Polyvinyl Pyrrolidone,H0.0808C0.054N0.009O0.009,1.25
Potassium Iodide,K0.006I0.006,3.13
Potassium Oxide,O0.0106K0.0212,2.32
Propane,H0.181C0.068,0.001879
"Propane, Liquid",H0.181C0.068,0.43
N-Propyl Alcohol,H0.1328C0.0499O0.0166,0.8035
Pyridine,H0.0631C0.0632N0.0126,0.9819
"Rubber, Butyl",H0.1423C0.0713,0.92
"Rubber, Natural",H0.1172C0.0734,0.92
"Rubber, Neoprene",H0.0564C0.0452Cl0.0113,1.23
Silicon Dioxide,O0.0333Si0.0166,2.32
Silver Bromide,Br0.0053Ag0.0053,6.473
Silver Chloride,Cl0.007Ag0.007,5.56
Silver Halides in Photographic Emulsion,Br0.0053Ag0.0053I0.0,6.47
Silver Iodide,Ag0.0043I0.0043,6.01
Skin (ICRP),H0.0996C0.019N0.0033O0.0387Na0.0Mg0.0P0.0S0.0Cl0.0001K0.0Ca0.0Fe0.0Zn0.0,1.1
Sodium Carbonate,C0.0094O0.0283Na0.0189,2.532
Sodium Iodide,Na0.0067I0.0067,3.667
Sodium Monoxide,O0.0161Na0.0323,2.27
Sodium Nitrate,N0.0118O0.0353Na0.0118,2.261
Stilbene,H0.0664C0.0777,0.9707
Sucrose,H0.0641C0.0351O0.0321,1.5805
Terphenyl,H0.0441C0.0796,1.234
Testes (ICRP),H0.1031C0.0077N0.0014O0.0484Na0.0001Mg0.0P0.0S0.0Cl0.0001K0.0001Ca0.0Fe0.0Zn0.0,1.04
Tetrachloroethylene,C0.0121Cl0.0241,1.625
Thallium Chloride,Cl0.0042Tl0.0042,7.004
"Tissue, Soft (ICRP)",H0.1034C0.0193N0.0018O0.0394Na0.0Mg0.0P0.0S0.0001Cl0.0K0.0001Ca0.0Fe0.0Zn0.0,1.0
"Tissue, Soft (ICRU four-component)",H0.1002C0.0092N0.0019O0.0476,1.0
Tissue-Equivalent GAS (Methane based),H0.1009C0.038N0.0025O0.0254,0.001064
Tissue-Equivalent GAS (Propane based),H0.1017C0.0474N0.0025O0.0183,0.001826
Titanium Dioxide,O0.025Ti0.0125,4.26
Toluene,H0.0866C0.076,0.8669
Trichloroethylene,H0.0076C0.0152Cl0.0228,1.46
Triethyl Phosphate,H0.0822C0.0329O0.022P0.0055,1.07
Tungsten Hexafluoride,F0.0201W0.0034,2.4
Uranium Dicarbide,C0.0076U0.0038,11.28
Uranium Monocarbide,C0.004U0.004,13.63
Uranium Oxide,O0.0074U0.0037,10.96
Urea,H0.0665C0.0167N0.0333O0.0167,1.323
Valine,H0.0937C0.0427N0.0085O0.0171,1.23
Viton Fluoroelastomer,H0.0093C0.0234F0.0374,1.8
"Water, Liquid",H0.1108O0.0555,1.0
Water Vapor,H0.1108O0.0555,0.000756
Xylene,H0.094C0.0754,0.87
